location,location_s,features,bath,bed,toilet,price,description,page,loc
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,800000,"Tastefully finished e bedroom flat upstairs all rooms ensuite with spacious sitting room, spacious rooms with 2 windows each room for proper ventilation. POP ceiling with Prepaid meter inside an interlocked compound. ... New. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,3 bed 2 bath 3 toilet,2,3,3,800000,"Clean and spacious 3 bedroom flat upstairs with masters bedroom ensuite only, kitchen and store, spacious rooms with wardrobe inside an interlocked compound not far from the interlocked road inside the estate. ... Renovated. Big Compound. 24 Hours Security. ...",21,ajah
chinese road junction bustop addo - langbasa rd ajah ado ajah lagos,chinese road junction bustop addo  langbasa rd ajah ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,500000,"Renovated 2 bedroom flat rooms ensuite with kitchen, 2 windows in each room for cross ventilation, spacious sitting room and rooms inside floored compound facing interlocked road. ... Renovated. Big Compound. All Room Ensuit. ...",21,ajah
marshy hill estate akins bustop addo road ajah ado ajah lagos,marshy hill estate akins bustop addo road ajah ado ajah lagos,1 bed 1 bath 1 toilet,1,1,1,350000,Portable and Nice Roomself contain inside a modern building not shared apartment with big room inside an interlocked compound not far from.the interlocked road inside the estate. ... Renovated. Big Compound. Pop Ceiling. All Room Ensuit. ...,21,ajah
bakery bustop opp rockstone estate badore road ajah badore ajah lagos,bakery bustop opp rockstone estate badore road ajah badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,600000,"Renovated w bedroom bungalow all rooms ensuite with spacious kitchen and store, spacious sitting room and both rooms have 2 windows for cross ventilation with just 3 people in the compound not far from Badore ... Renovated. Big Compound. Pop Ceiling. All Room Ensuit. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,500000,"Brand new Miniflat with spacious kitchen, spacious room and sitting room. Security doors POP ceiling ... New. Pop Ceiling. Security Doors. 24 Hours Security. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,400000,New Miniflat inside an interlocked compound. ... New. Big Compound. Pop Ceiling. ...,21,ajah
marshy hill estate akins bustop off addo road ajah ado ajah lagos,marshy hill estate akins bustop off addo road ajah ado ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,"Brand new 3 bedroom flat all rooms ensuite with POP ceiling, water heater bath, front and back balcony, modern kitchen cabinet and wardrobe inside an interlocked compound inside a gated Estate. Downstairs N1.1m Rent, Upstairs ... New. Big Compound. All Room Ensuit. Water Treatment. 24 Hours Security. Pop Ceiling. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,500000,"Renovated Miniflat with POP, modern kitchen and spacious sitting room. ... Cheap. Renovated. Pop Ceiling. 24 Hours Security. ...",21,ajah
elegant court estate mobil road illaje ajah ilaje ajah lagos,elegant court estate mobil road illaje ajah ilaje ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,"Clean 3 bedroom flat upstairs all rooms ensuite, spacious sitting room, heat extractor in the kitchen, study room inside an interlocked mini Estate compound facing Mobil road Illaje Ajah ... Renovated. Big Compound. Pop Ceiling. Security Doors. All Room Ensuit. 24 Hours Security. ...",21,ajah
powerline estate opp sunny villa estate badore ajah badore ajah lagos,powerline estate opp sunny villa estate badore ajah badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,600000,"Renovated 2 bedroom flat all rooms ensuite spacious sitting room and rooms, good for young couple not far from the major road. ... Renovated. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,400000,Renovated Miniflat with spacious kitchen and sitting room. ... Renovated. Pop Ceiling. Security Doors. Water Treatment. ...,21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,500000,"Clean and Portable Miniflat perfect for a Bachelor or spinster with 2 windows in the room and sitting room inside an interlocked compound with own prepaid meter. Rent N500k upstairs, Downstairs Rent N450k ... Cheap. New. Big Compound. Pop Ceiling. Water Treatment. 24 Hours Security. ...",21,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,"Brand new 3 bedroom flat all rooms ensuite with spacious sitting room and dinning section, 3 balcony in front, back and kitchen side, fitted kitchen with store, shower cubicle bathroom, water heater and POP ceiling ... New. Big Compound. Pop Ceiling. Security Doors. Water Treatment. All Room Ensuit. 24 Hours Security. ...",21,ajah
gated estate by junction bustop facing harmony estate langbasa road ajah ado ajah lagos,gated estate by junction bustop facing harmony estate langbasa road ajah ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,800000,"Brand new 2 bedroom flat all rooms ensuite with shower cubicles spacious modern kitchen with cupboard and cabinet, store and balcony upstairs. ... New. Big Compound. 24 Hours Security. All Room Ensuit. Pop Ceiling. ...",21,ajah
illaje off emerald estate mobil road illaje ajah ilaje ajah lagos,illaje off emerald estate mobil road illaje ajah ilaje ajah lagos,4 bed 3 bath 4 toilet,3,4,4,1500000,"Spacious 4 bedroom Terrace duplex with 2 sitting room, fitted kitchen, water heater bathroom POP ceiling just 4 people in the compound, water treatment plant not far from the interlocked Mobil road. ... Renovated. Pop Ceiling. Big Compound. 24 Hours Security. Water Treatment. Security Doors. ...",21,ajah
remlek estate badore ajah badore ajah lagos,remlek estate badore ajah badore ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,Brand new 3 bedroom duplex with spacious kitchen and sitting room inside a gated estate.. Not far from the interlocked road inside Remlek Estate Badore Ajah ... New. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...,22,ajah
lekki scheme 2 abraham adesanya ogombo road ajah ogombo ajah lagos,lekki scheme 2 abraham adesanya ogombo road ajah ogombo ajah lagos,2 bed 2 bath 3 toilet,2,2,3,1000000,"Brand new 2 bedroom flat upstairs and downstairs all rooms ensuite, fitted kitchen, water heater bathroom, POP ceiling inside interlocked compound facing interlocked road. ... New. Pop Ceiling. All Room Ensuit. 24 Hours Security. ...",22,ajah
greenville estate badore ajah badore ajah lagos,greenville estate badore ajah badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,850000,Spacious and Tastefully Finished 2 bedroom flat all rooms ensuite spacious kitchen with spacious sitting room. Masters bedroom has balcony inside an interlocked compound ... New. Security Doors. All Room Ensuit. 24 Hours Security. Water Treatment. Pop Ceiling. ...,22,ajah
peace estate cocacola bustop badore ajah badore ajah lagos,peace estate cocacola bustop badore ajah badore ajah lagos,1 bed 1 bath 2 toilet,1,1,2,600000,"Brand New Spacious Miniflat with fitted kitchen cupboard and cabinet, 2 toilets spacious sitting room inside an interlocked compound facing interlocked road inside the estate and it's close to Badore road. ... Cheap. New. Big Compound. Pop Ceiling. Security Doors. Water Treatment. All Room Ensuit. 24 Hours Security. ...",22,ajah
unity estate maryland badore ajah badore ajah lagos,unity estate maryland badore ajah badore ajah lagos,4 bed 4 bath 5 toilet,4,4,5,1000000,"Spacious 4 bedroom semi detached duplex all rooms ensuite with spacious kitchen, spacious sitting room and big compound good for both residential and commercial purpose close to the interlocked road inside the estate. ... Renovated. Cheap. Big Compound. All Room Ensuit. Water Treatment. 24 Hours Security. Pop Ceiling. ...",22,ajah
marshy hill estate addo road ajah ado ajah lagos,marshy hill estate addo road ajah ado ajah lagos,1 bed 1 bath 1 toilet,1,1,1,450000,Brand new roomself contain with studio kitchen spacious room and balcony facing an interlocked road inside the estate. ... New. Big Compound. Pop Ceiling. Security Doors. ...,22,ajah
gated street by junction bustop harmony estate langbasa rd ajah ado ajah lagos,gated street by junction bustop harmony estate langbasa rd ajah ado ajah lagos,1 bed 1 bath 2 toilet,1,1,2,600000,Brand new spacious Miniflat with 2 toilets spacious kitchen with store and balcony ... New. Big Compound. 24 Hours Security. All Room Ensuit. Pop Ceiling. ...,22,ajah
marshy hill estate akins bustop addo road ajah ado ajah lagos,marshy hill estate akins bustop addo road ajah ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,950000,"Brand new 2 bedroom flat all rooms ensuite with POP ceiling, modern kitchen, wardrobe inside an interlocked compound facing interlocked road. Upstairs N950,000.00 Downstairs N900,000.00. ... New. Cheap. Big Compound. All Room Ensuit. Water Treatment. 24 Hours Security. Security Doors. Pop Ceiling. ...",22,ajah
berulah estate by addo round about addo ajah ado ajah lagos,berulah estate by addo round about addo ajah ado ajah lagos,3 bed 2 bath 3 toilet,2,3,3,900000,"Modern Bungalow with masters bedroom ensuite 3 toilets 2 bathrooms, POP ceiling in sitting room, spacious sitting room, spacious dinning, big kitchen and store just 2 people in the compound inside a gated Estate and ... Renovated. Pop Ceiling. ...",22,ajah
harmony estate langbasa rd ajah ado ajah lagos,harmony estate langbasa rd ajah ado ajah lagos,4 bed 4 bath 5 toilet,4,4,5,1100000,"A 4 bedroom bungalow alone in the compound with Miniflat bq spacious sitting room and dinning, kitchen with store, all rooms ensuite with compound that can park 8 cars with generator house and gate house ... Renovated. Parking Space. Boys Quater. Big Compound. All Room Ensuit. ...",22,ajah
mega estate black gate bustop badore ajah badore ajah lagos,mega estate black gate bustop badore ajah badore ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1300000,"Brand new 3 bedroom flat all rooms ensuite with spacious kitchen, spacious sitting room POP ceiling, water heater bathroom, water treatment plant, interlocked compound facing interlocked road inside the estate. ... New. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...",22,ajah
lavalon hotel estate opp eco bank addo road ajah ado ajah lagos,lavalon hotel estate opp eco bank addo road ajah ado ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1300000,"Clean and spacious 3 bedroom flat upstairs with bq all rooms ensuite, spacious kitchen, spacious sitting room with 2 windows each inside 2 rooms for proper ventilation, visitors toilet with POP ceiling inside an interlocked ... Cheap. Renovated. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...",22,ajah
lavalon hotel road opp eco bank addo road ajah ado ajah lagos,lavalon hotel road opp eco bank addo road ajah ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,1000000,"Brand new 2 bedroom flat all rooms ensuite with POP ceiling spacious rooms with 2 windows each for ventilation, spacious kitchen facing interlocked road inside a gated Estate. ... Serviced. New. Big Compound. All Room Ensuit. Water Treatment. 24 Hours Security. Pop Ceiling. ...",22,ajah
lekki scheme 2 abraham adesanya ogombo road ajah ilaje ajah lagos,lekki scheme 2 abraham adesanya ogombo road ajah ilaje ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1500000,"Clean 3 bedroom flat upstairs all rooms ensuite, spacious kitchen, spacious sitting room and big rooms, POP ceiling with just 2 people in the compound facing interlocked road. ... Cheap. Renovated. Big Compound. Pop Ceiling. Security Doors. All Room Ensuit. 24 Hours Security. ...",22,ajah
unity estate maryland badore ajah badore ajah lagos,unity estate maryland badore ajah badore ajah lagos,3 bed 3 bath 4 toilet,3,3,4,800000,Clean 3 bedroom Duplex all rooms ensuite with spacious sitting room and balcony in masters bedroom. The house is close to the interlocked road inside the estate. You have your own prepaid meter. ... Renovated. Security. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. ...,22,ajah
"ogunfayo,awoyaya (immediately after mayfair garden estate, awoyaya) awoyaya ajah lagos","ogunfayo,awoyaya (immediately after mayfair garden estate, awoyaya) awoyaya ajah lagos",2 bed 2 bath 2 toilet,2,2,2,400000,"Standard 2 Bedroom flat for Rent at Ogunfayo,Awoyaya at N400K per year LOCATION: It's located at Ogunfayo,Awoyaya (immediately after MAYFAIR GARDEN Estate, Awoyaya) RENT: N400,000 per year Agency: N40,000 Agreement: N40,000 Caution Fee: N40,000 IMPORTANT FEATURES -It's a Standard Apartment -Spacious Balcony -Room En-suite -Standard ... ...",22,ajah
"ogunfayo,awoyaya (immediately after mayfair garden estate, awoyaya) awoyaya ajah lagos","ogunfayo,awoyaya (immediately after mayfair garden estate, awoyaya) awoyaya ajah lagos",1 bed 1 bath 1 toilet,1,1,1,300000,"Standard Mini flat for Rent at Ogunfayo,Awoyaya at N300K per year LOCATION: It's located at Ogunfayo,Awoyaya (immediately after MAYFAIR GARDEN Estate, Awoyaya) RENT: N300,000 per year Agency: N30,000 Agreement: N30,000 Caution Fee: N30,000 IMPORTANT FEATURES -It's a Standard Apartment -Spacious Balcony -Room En-suite -Standard Kitchen ... ...",22,ajah
... badore ajah lagos,... badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,650000,A specious 2 Bedroom apartment all rooms ensuit with state of the art finished located inside serene estate at badore ajah with constant light and clean water supply situated on a good road. ... New. Dry. All Room Ensuit. Security. 24 Hours Electricity. Street Lights. Supermarket Nearby. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. Fast Internet. ...,22,ajah
ado ajah lagos,ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,950000,2-Bedroom Flat For Rent @ Ajah - Addo Road Rent: NGN 950k / Annum (Negotiable) Caution: NGN 100 k Agency: 10% Legal: 10% ... ...,22,ajah
badore ajah lagos,badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,250000,Newly built specious self-contained sheared apartment with constant water and light supply at palm will estate badore ajah. Only kitchen to be sheared by 3 flatmates ... New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Pop Ceiling. Cctv Cameras. Water Treatment. Security Doors. Big Compound. Free Wifi. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...,22,ajah
remlek estate badore ajah badore ajah lagos,remlek estate badore ajah badore ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,Brand new 3 bedroom duplex with spacious kitchen and sitting room inside a gated estate.. Not far from the interlocked road inside Remlek Estate Badore Ajah ... New. Big Compound. Pop Ceiling. Water Treatment. All Room Ensuit. 24 Hours Security. ...,22,ajah
badore ajah lagos,badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,800000,A specious 2 bedroom apartment all rooms ensuit with constant light and water supply located at Anu Crescent estate badore ajah ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...,23,ajah
#NAME?,awoyaya ajah lagos,3 bed 3 bath 4 toilet,3,3,4,750000,"Newly built 3bdroom flat to let Rent- down 700, up 750 Caution 50k Agent/legal 10% each Location-Awoyaya A call to us will end your search immediately FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US A ... Dry. All Room Ensuit. Parking Space. Children Play Ground. Drainage System. Pop Ceiling. Big Compound. Church Nearby. ...",23,ajah
ogombo ajah lagos,ogombo ajah lagos,1 bed 1 bath 1 toilet,1,1,1,550000,Newly built mini flat Rent 550k Agency 10% Legal 10% Caution fee 10% Service charge 75k Location Abraham Adesanya /ogombo ... New. All Room Ensuit. 24 Hours Electricity. Parking Space. 24 Hours Security. Big Compound. ...,23,ajah
ado ajah lagos,ado ajah lagos,4 bed 4 bath 5 toilet,4,4,5,2800000,FEATURES: - All Bedrooms En suite with Water Heaters - Fully Fitted Kitchen with Cabinets - Marble Tiles - Wardrobes - P.O.P ceiling - Dining - Serene Environment - Ample Parking Space. ... New. All Room Ensuit. Boys Quater. Security. Street Lights. Parking Space. Pop Ceiling. Cctv Cameras. Water Treatment. Security Doors. Big Compound. ...,23,ajah
"off mobil road, ilaje ajah lagos","off mobil road, ilaje ajah lagos",3 bed 3 bath 4 toilet,3,3,4,900000,"*** 3 Bedroom Flat available For Rent *** 5 units available *** big rooms & living room *** Dining section available *** newly built and concrete compound *** Location: Alaguntan, off Mobil Road, Ajah. Lagos. ... Serviced. New. All Room Ensuit. Parking Space. ...",23,ajah
badore ajah lagos,badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,400000,MiniFlat for rent @ Ajah - Badore Rent: *NGN 400k* Caution: NGN 50k PHCN for Pumping Machine: 12k / Annum Agency: 10% Legal: 10% ... ...,23,ajah
mobile ajah lagos,mobile ajah lagos,4 bed 4 bath 5 toilet,4,4,5,2000000,"Newly built 4bedroom duplex with a bq for rent and for sale. Location:ajah/mobile road rent: 2m caution: 10% agent: 10% legal: 10% sales price .45m a call to us will definitely end your search for a house for further enquires, specific request ... New. Dry. All Room Ensuit. Boys Quater. 24 Hours Electricity. Street Lights. Children Play Ground. Drainage System. Pop Ceiling. 24 Hours Security. Big Compound. Church Nearby. ...",23,ajah
#NAME?,sangotedo ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1500000,"Luxurious 4units of 3bedroom Terrace duplex in a secured estate Rent-1. 5 Caution-100k Agent/legal 10% each Location-LBS/ Sangotedo A call to us will end your search immediately FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US ... Dry. All Room Ensuit. Children Play Ground. Drainage System. Big Compound. Church Nearby. ...",23,ajah
badore ajah lagos,badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,250000,"A standard single room self-contained sheared apartment with constant light and clean water supply, close to the road ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Pop Ceiling. Cctv Cameras. Water Treatment. Security Doors. Big Compound. Free Wifi. Front Desk Service. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...",23,ajah
"lekki garden phase 2,opposite abraham adesanya abraham adesanya estate ajah lagos","lekki garden phase 2,opposite abraham adesanya abraham adesanya estate ajah lagos",3 bed 3 bath 4 toilet,3,3,4,1500000,"3 bedroom Terraced Duplex House for rent Lekki garden phase 2,opposite Abraham adesanya Abraham adesanya estate Ajah Lagos ... ...",23,ajah
silverpoint estate badore ajah lagos,silverpoint estate badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,900000,"Brand new beautifully built luxurious 2bedroom flat with ample parking space at silver point estate badore ajah, Lagos. Rent #900k Agency #90k Legal #45k Caution #50k Service charge ... New. Dry. All Room Ensuit. Security. Street Lights. Parking Space. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...",23,ajah
sangotedo ajah lagos,sangotedo ajah lagos,1 bed 1 bath 1 toilet,1,1,1,250000,"Nice 1 bedroom shared apartment Shared apartment Rent 230k Total package Location sangotedo A call to us will end your search immediately FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US A SCREENSHOT OR THE LINK TO ... Cheap. Dry. ...",23,ajah
awoyaya ajah lagos,awoyaya ajah lagos,2 bed 2 bath 3 toilet,2,2,3,500000,"Nicely finished 2 bedroom Location: Awoyaya Rent - N500,000.00 Service charge - N36,000.00 Agreement - 10% Caution deposit - 10% Agency - 10% Subsequently yearly/annual payment is N500,000 (Rent plus Service charge) A call to us will end your search immediately FOR ... Dry. Children Play Ground. Drainage System. Big Compound. Church Nearby. ...",23,ajah
badore ajah lagos,badore ajah lagos,3 bed 4 bath 4 toilet,4,3,4,750000,Spacious 3-Bedroom Flat for Rent @ Ajah - Badore Rent: NGN 750k Caution: NGN 50k Agency: 10% Legal: 10% ... All Room Ensuit. Big Compound. ...,23,ajah
hitech estate sangotedo ajah lagos,hitech estate sangotedo ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1300000,"*3Bedroom Flat with BQ For Rent* 5unit of 3bedroom flat with all room ensiut including BQ. Available for rent at Hitech Estate, Beside LBS, Ajah. Rent N1.3m Service charge #200k *Amenties to enjoy includes* # Superbly ... Renovated. Cheap. All Room Ensuit. Boys Quater. Security. Street Lights. Parking Space. Drainage System. Pop Ceiling. Water Treatment. Security Doors. Big Compound. ...",23,ajah
badore ajah lagos,badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,600000,A specious 2 bedroom apartment all rooms ensuit with constant light and clean water supply at unity estate badore ajah ... New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. 24 Hours Security. Fast Internet. ...,23,ajah
greenville badore ajah lagos,greenville badore ajah lagos,1 bed 1 bath 2 toilet,1,1,2,450000,"Brand new beautifully built 1bedroom flat at Greenville estate badore, Ajah. Rent : #450k ... New. All Room Ensuit. Security. Parking Space. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...",23,ajah
badore ajah lagos,badore ajah lagos,1 bed 2 bath 2 toilet,2,1,2,500000,A specious room and parlour mini flat apartment all rooms ensuit with constant light and water supply located at seaside estate badore ajah ... Cheap. New. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...,23,ajah
sangotedo ajah lagos,sangotedo ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1100000,"Spotless 3bedroom flat Rent:1.1 Caution:100k Agency:10% Legal:10% Location: Sangotedo A call to us will definitely end your search for a house FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US A SCREENSHOT OR THE LINK TO THIS APARTMENT INSPECTIONS ... Dry. All Room Ensuit. Security. 24 Hours Electricity. Street Lights. Restaurants Nearby. Parking Space. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Big Compound. Church Nearby. ...",23,ajah
badore ajah lagos,badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,800000,A specious 2 bedroom apartment all rooms ensuit with constant light and water supply located at Anu Crescent estate badore ajah ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...,23,ajah
badore ajah lagos,badore ajah lagos,2 bed 2 bath 3 toilet,2,2,3,900000,Newly Built 2 Bedroom Flat for rent @ Ajah - Badore Rent: *NGN 900k* (upstairs) Service charge: 100k (excluding power) Caution: 100k Agency: 10% Legal: 10% ... New. All Room Ensuit. Security. Parking Space. Drainage System. Pop Ceiling. Water Treatment. Big Compound. ...,24,ajah
badore ajah lagos,badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,650000,"A tastefully finished 2 bedroom apartment all rooms ensuit with constant light, clean water and good road located inside seaside estate badore ajah ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...",24,ajah
ado ajah lagos,ado ajah lagos,2 bed 2 bath 3 toilet,2,2,3,1000000,Well maintained 2 Bedroom Flat For Rent @ Ajah - Ado Road Rental fee: NGN 1 million Service Charge: NGN 200k Caution: NGN 100k Agency: 10% Legal: 5% ... Serviced. Security. Water Treatment. ...,24,ajah
"salvation estate off addo/langbasa road, ajah lagos","salvation estate off addo/langbasa road, ajah lagos",1 bed 1 bath 2 toilet,1,1,2,800000,"1 Bedroom Luxury apartment with Fitted kitchen with ACs. 1brm=800k per annum. Service charge=150k. Refundable deposit for 1bedroom is 150k splits ACs, fitted wardrobe, fitted kitchen, electric fence, security. Etc ... Dry. All Room Ensuit. Security. Parking Space. Drainage System. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...",24,ajah
... badore ajah lagos,... badore ajah lagos,1 bed 1 bath 1 toilet,1,1,1,300000,A spacious sheared selfcontain apartment tastefully finished all rooms ensuit with constant light and water supply located at unity estate badore. Only kitchen to be sheared by occupants ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Pop Ceiling. Cctv Cameras. Water Treatment. Security Doors. Big Compound. Security. Parking Space. Supermarket Nearby. Drainage System. 24 Hours Security. Fast Internet. ...,24,ajah
awoyaya ajah lagos,awoyaya ajah lagos,2 bed 2 bath 2 toilet,2,2,2,570000,Newly built spacious 2bedroom flat with dinning for rent Rent-570 Agent/legal-110k Total package-680k Location-Awoyaya ... New. All Room Ensuit. 24 Hours Electricity. Parking Space. 24 Hours Security. Big Compound. ...,24,ajah
sangotedo ajah lagos,sangotedo ajah lagos,2 bed 2 bath 2 toilet,2,2,2,900000,"Fantastic 2bedroom flat Thomas Estate, ajah Rent. 900k Agency. 10% legal . 10% caution 10% A call to us will end your search immediately FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US A SCREENSHOT ... Dry. ...",24,ajah
sangotedo ajah lagos,sangotedo ajah lagos,1 bed 1 bath 1 toilet,1,1,1,700000,"Lovely Mini flat Thomas Estate, ajah. Rent. 700k Agency 10% legal 10% A call to us will end your search immediately FOR FURTHER ENQUIRES, SPECIFIC REQUEST AND ARRANGEMENTS FOR PHYSICAL INSPECTIONS, KINDLY SEND US A SCREENSHOT OR THE LINK ... Dry. Children Play Ground. Drainage System. Church Nearby. ...",24,ajah
meadow view estate ogombo ajah lagos,meadow view estate ogombo ajah lagos,3 bed 3 bath 4 toilet,3,3,4,1200000,Brend new 3 bedrooms duplex ... New. All Room Ensuit. 24 Hours Electricity. 24 Hours Security. Big Compound. ...,24,ajah
awoyaya ajah lagos,awoyaya ajah lagos,4 bed 4 bath 5 toilet,4,4,5,1600000,FEATURES: - All Bedrooms En suite with Water Heaters - Fully Fitted Kitchen with Cabinets - Marble Tiles - Wardrobes - P.O.P ceiling - Dining - Serene Environment - Ample Parking Space. ... Serviced. New. All Room Ensuit. Boys Quater. Security. Street Lights. Parking Space. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...,24,ajah
badore ajah lagos,badore ajah lagos,2 bed 3 bath 3 toilet,3,2,3,650000,Tastefully finished newly built 2 bedroom apartment with constant light and clean water located in unity estate badore ajah ... Cheap. New. Dry. All Room Ensuit. 24 Hours Electricity. Street Lights. Children Play Ground. Pop Ceiling. Water Treatment. Security Doors. Big Compound. Free Wifi. Security. Supermarket Nearby. 24 Hours Security. Fast Internet. ...,24,ajah
"lucky osujie, lekki palm city estate ado ajah lagos","lucky osujie, lekki palm city estate ado ajah lagos",4 bed 4 bath 5 toilet,4,4,5,2000000,"New and tastefully finished 5units of 4 bedrooms detached houses with a room boy's quarter at lucky osujie street, Lekki palm city estate opp. Olumegbon palace off Ado road, Ajah, Lagos. Rent N2.3m and ... New. Dry. All Room Ensuit. Security. Street Lights. Parking Space. Drainage System. Pop Ceiling. Cctv Cameras. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...",24,ajah
general paint abraham adesanya estate ajah lagos,general paint abraham adesanya estate ajah lagos,4 bed 4 bath 5 toilet,4,4,5,2200000,"Newly built,with swimming pools, play ground, tare road ... Furnished. Serviced. New. Dry. All Room Ensuit. Swimming Pool. Security. 24 Hours Electricity. Street Lights. Pop Ceiling. Water Treatment. 24 Hours Security. Security Doors. Big Compound. ...",24,ajah
